Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Subway,Veggie Delite Sandwich (15cm),219,378.0,11.0,40.0,3.5
Subway,Aloo Patty Sandwich (15cm),249,451.0,12.0,55.0,10.0
Subway,Paneer Tikka Sandwich (15cm),319,678.0,33.0,45.0,25.0
Subway,Chicken Tikka Sandwich (15cm),349,654.0,40.0,45.0,15.0
McDonald's,McAloo Tikki Burger,60,339.0,8.5,50.0,11.0
McDonald's,McSpicy Paneer Burger,175,674.0,25.0,59.0,39.0
McDonald's,McChicken Burger,130,400.0,20.0,40.0,15.0
McDonald's,Chicken Maharaja Mac,220,600.0,38.0,55.0,25.0
McDonald's,Veg Maharaja Mac,210,550.0,29.0,60.0,20.0
Domino's,Margherita Pizza (Regular),99,688.0,24.0,90.0,20.0
Domino's,Cheese n Corn Pizza (Regular),169,709.0,25.0,92.0,22.0
Domino's,Peppy Paneer Pizza (Regular),229,857.0,34.0,85.0,37.0
Domino's,Pepper Barbecue Chicken (Regular),229,750.0,35.0,80.0,25.0
Taco Bell,Crunchy Taco (Veg),70,218.0,5.0,22.0,12.0
Taco Bell,Crunchy Taco (Chicken),90,287.0,10.0,29.0,14.0
Taco Bell,Burrito Habanero (Veg),150,407.0,11.0,64.0,10.0
Taco Bell,Burrito Habanero (Chicken),180,450.0,18.0,67.0,11.0
Burger King,Veg Whopper,189,500.0,15.0,60.0,20.0
Burger King,Chicken Whopper,209,662.0,33.0,60.0,29.0
Burger King,Crispy Chicken,116,345.0,12.0,39.0,15.0
KFC,Hot & Crispy Chicken (2 pc),220,500.0,40.0,20.0,30.0
KFC,Zinger Burger,180,450.0,25.0,45.0,20.0
KFC,Popcorn Chicken (Large),250,400.0,25.0,30.0,20.0
Generic/Average Restaurant,Hot tea (Garam Chai),30,16.14,0.39,2.58,0.53
Generic/Average Restaurant,Instant coffee,30,23.16,0.64,3.65,0.75
Generic/Average Restaurant,Espreso coffee,30,51.54,1.75,6.62,2.14
Generic/Average Restaurant,Iced tea,30,10.34,0.03,2.7,0.01
Generic/Average Restaurant,Raw mango drink (Aam panna),30,35.92,0.16,9.05,0.03
Generic/Average Restaurant,Fruit Punch (with fresh juices),30,36.12,0.14,9.38,0.03
Generic/Average Restaurant,Fruit Punch (with squashes),120,23.13,0.07,5.99,0.02
Generic/Average Restaurant,Lemonade,120,20.8,0.03,5.48,0.01
Generic/Average Restaurant,Lem-o-gin,120,21.52,0.08,5.55,0.03
Generic/Average Restaurant,Cumin infused water (Jeere/Zeere ka pani),30,9.09,0.17,1.86,0.11
Generic/Average Restaurant,Coco pine cooler,120,32.75,0.56,5.72,1.0
Generic/Average Restaurant,Summer cooler,120,22.43,0.37,5.43,0.04
Generic/Average Restaurant,Hot cocoa,120,90.1,3.36,9.23,4.56
Generic/Average Restaurant,Cold coffee with ice cream,30,67.85,1.57,11.24,2.11
Generic/Average Restaurant,Banana milkshake (Kele milkshake),30,65.31,1.84,9.15,2.37
Generic/Average Restaurant,Mango milkshake (Aam milkshake),30,56.9,1.73,7.23,2.35
Generic/Average Restaurant,Pineapple milkshake (Ananas milkshake),30,55.72,1.66,7.62,2.23
Generic/Average Restaurant,Orange milkshake (Narangi milkshake),30,57.42,1.86,7.11,2.52
Generic/Average Restaurant,Egg nog,300,97.14,4.78,8.15,5.11
Generic/Average Restaurant,Sweet Lassi (Meethi lassi),30,35.66,1.29,6.51,0.68
Generic/Average Restaurant,Lassi (salted),30,18.84,1.35,1.86,0.72
Generic/Average Restaurant,Cheese and chilli sandwich ,100,218.11,6.8,27.4,9.78
Generic/Average Restaurant,Egg sandwich (Ande ka sandwich),100,285.96,8.69,29.16,15.8
Generic/Average Restaurant,Cucumber sandwich (Kheere ka sandwich),100,188.6,4.8,25.77,8.0
Generic/Average Restaurant,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),100,257.71,8.2,29.1,12.8
Generic/Average Restaurant,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),100,243.32,7.92,26.92,12.27
Generic/Average Restaurant,Chicken sandwich,100,253.27,13.12,25.38,11.75
Generic/Average Restaurant,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),100,291.43,9.53,28.54,16.14
Generic/Average Restaurant,Rainbow sandwich,100,272.75,7.75,34.26,12.54
Generic/Average Restaurant,Club sandwich ,100,235.32,7.31,18.51,15.12
Generic/Average Restaurant,Vegetarian club sandwich,100,198.33,5.45,19.68,11.33
Generic/Average Restaurant,Pin wheel sandwich,100,311.52,8.77,14.0,24.93
